id,article_influence,est_article_influence,"date_stamp","journal_id",ai_percentile,cost_effectiveness,ef_percentile,eigenfactor,efn
144,0.3761300,NULL,"2007-12-31","0187-6236",NULL,NULL,NULL,NULL,NULL
145,1.2782000,NULL,"2007-12-31","0021-9150",NULL,NULL,NULL,NULL,NULL
146,1.3381000,NULL,"2007-12-31","1478-6362",NULL,NULL,NULL,NULL,NULL
147,0.0351250,NULL,"2007-12-31","1733-3490",NULL,NULL,NULL,NULL,NULL
148,0.2718800,NULL,"2007-12-31","0373-2029",NULL,NULL,NULL,NULL,NULL
149,0.6943600,NULL,"2007-12-31","1432-0665",NULL,NULL,NULL,NULL,NULL
150,0.5376600,NULL,"2007-12-31","0044-8486",NULL,NULL,NULL,NULL,NULL
151,0.6446100,NULL,"2007-12-31","0195-6663",NULL,NULL,NULL,NULL,NULL
152,0.3603100,NULL,"2007-12-31","0918-7960",NULL,NULL,NULL,NULL,NULL
153,0.0326850,NULL,"2007-12-31","0256-4947",NULL,NULL,NULL,NULL,NULL
154,0.9940200,NULL,"2007-12-31","1239-629X",NULL,NULL,NULL,NULL,NULL
155,0.1245800,NULL,"2007-12-31","0304-4602",NULL,NULL,NULL,NULL,NULL
156,0.2832700,NULL,"2007-12-31","1075-9964",NULL,NULL,NULL,NULL,NULL
157,0.5248400,NULL,"2007-12-31","0741-8329",NULL,NULL,NULL,NULL,NULL
158,0.0482920,NULL,"2007-12-31","1405-3195",NULL,NULL,NULL,NULL,NULL
159,0.1015800,NULL,"2007-12-31","1684-5315",NULL,NULL,NULL,NULL,NULL
160,0.1057100,NULL,"2007-12-31","1280-8571",NULL,NULL,NULL,NULL,NULL
161,0.0548720,NULL,"2007-12-31","1217-8837",NULL,NULL,NULL,NULL,NULL
162,0.2076400,NULL,"2007-12-31","0065-1400",NULL,NULL,NULL,NULL,NULL
163,0.0633760,NULL,"2007-12-31","0386-300X",NULL,NULL,NULL,NULL,NULL
164,0.0607160,NULL,"2007-12-31","1600-5368",NULL,NULL,NULL,NULL,NULL
165,0.3309600,NULL,"2007-12-31","0001-527X",NULL,NULL,NULL,NULL,NULL
166,0.4668100,NULL,"2007-12-31","1530-9932",NULL,NULL,NULL,NULL,NULL
167,0.7130900,NULL,"2007-12-31","1550-7416",NULL,NULL,NULL,NULL,NULL
168,0.2583100,NULL,"2006-12-31","0043-0617",NULL,NULL,NULL,NULL,NULL
169,0.4127700,NULL,"2006-12-31","0038-3910",NULL,NULL,NULL,NULL,NULL
170,0.0628200,NULL,"2006-12-31","0185-3325",NULL,NULL,NULL,NULL,NULL
171,0.2564000,NULL,"2006-12-31","1020-4989",NULL,NULL,NULL,NULL,NULL
172,0.0953610,NULL,"2006-12-31","0033-2879",NULL,NULL,NULL,NULL,NULL
173,1.0000000,NULL,"2006-12-31","0029-3571",NULL,NULL,NULL,NULL,NULL
174,0.2161600,NULL,"2006-12-31","0024-3841",NULL,NULL,NULL,NULL,NULL
175,0.5020600,NULL,"2006-12-31","1094-3501",NULL,NULL,NULL,NULL,NULL
