id,price,"date_stamp","journal_id",influence_id,"url","license"
8691,1400.00,"2016-08-11","2051-5960",NULL,NULL,""
8692,2175.00,"2016-08-11","1758-9193",NULL,NULL,""
8693,2145.00,"2016-08-11","1476-0711",NULL,NULL,""
8694,2145.00,"2016-08-11","2047-2994",NULL,NULL,""
8695,2145.00,"2016-08-11","1744-9081",NULL,NULL,""
8696,2450.00,"2016-08-11","1480-9222",NULL,NULL,""
8697,2450.00,"2016-08-11","2042-6410",NULL,NULL,""
8698,2255.00,"2016-08-11","2050-7771",NULL,NULL,""
8699,2145.00,"2016-08-11","1471-2407",NULL,NULL,""
8700,2145.00,"2016-08-11","1471-2172",NULL,NULL,""
8701,2145.00,"2016-08-11","1471-2350",NULL,NULL,""
8702,2145.00,"2016-08-11","1755-8794",NULL,NULL,""
8703,2145.00,"2016-08-11","1471-2202",NULL,NULL,""
8704,2145.00,"2016-08-11","2050-6511",NULL,NULL,""
8705,2145.00,"2016-08-11","1472-6793",NULL,NULL,""
8706,1290.00,"2016-08-11","1756-0500",NULL,NULL,""
8707,2910.00,"2016-08-11","1465-542X",NULL,NULL,""
8708,2450.00,"2016-08-11","2049-3002",NULL,NULL,""
8709,2300.00,"2016-08-11","1475-2867",NULL,NULL,""
8710,0.00,"2016-08-11","1944-446X",NULL,NULL,""
8711,2450.00,"2016-08-11","1868-7083",NULL,NULL,""
8712,2145.00,"2016-08-11","2045-3329",NULL,NULL,""
8713,2240.00,"2016-08-11","1878-5085",NULL,NULL,""
8714,2145.00,"2016-08-11","2040-7378",NULL,NULL,""
8715,2145.00,"2016-08-11","2046-7648",NULL,NULL,""
8716,2450.00,"2016-08-11","2044-7248",NULL,NULL,""
8717,2145.00,"2016-08-11","2045-8118",NULL,NULL,""
8718,2145.00,"2016-08-11","1865-3499",NULL,NULL,""
8719,0.00,"2016-08-11","1880-7062",NULL,NULL,""
8720,2785.00,"2016-08-11","1756-994X",NULL,NULL,""
8721,2145.00,"2016-08-11","1897-4287",NULL,NULL,""
8722,2450.00,"2016-08-11","1479-7364",NULL,NULL,""
