,journal_name,issn,citation_count_sum,paper_count_sum,avg_cites_per_paper,proj_ai,proj_ai_year
0,3d research,2092-6731,151.0,106.0,1.4245283018867925,0.29,2015
1,aaps pharmscitech,1530-9932,2208.0,801.0,2.756554307116105,0.665,2015
2,abstract and applied analysis,1687-0409,3005.0,2923.0,1.0280533698255216,0.192,2015
3,academic psychiatry,1545-7230,537.0,490.0,1.0959183673469388,0.20800000000000002,2015
4,academic questions,1936-4709,40.0,67.0,0.5970149253731343,0.09699999999999999,2015
5,accreditation and quality assurance,1432-0517,255.0,331.0,0.770392749244713,0.134,2015
6,acoustics australia,1839-2571,30.0,25.0,1.2,0.23399999999999999,2015
7,acrocephalus,2199-6067,9.0,15.0,0.6,0.098,2015
8,acta adriatica,1846-0453,28.0,37.0,0.7567567567567568,0.131,2015
9,acta agriculturae slovenica,1854-1941,71.0,97.0,0.7319587628865979,0.125,2015
10,acta amazonica,0044-5967,340.0,315.0,1.0793650793650793,0.204,2015
11,acta applicandae mathematicae,1572-9036,512.0,447.0,1.145413870246085,0.22,2015
12,acta biochimica polonica,0001-527X,912.0,500.0,1.824,0.396,2015
13,acta bioethica,1726-569X,70.0,98.0,0.7142857142857143,0.122,2015
15,acta biologica cracoviensia series botanica,1898-0295,128.0,131.0,0.9770992366412212,0.18,2015
16,acta biotheoretica,1572-8358,143.0,109.0,1.3119266055045868,0.261,2015
17,acta botanica brasilica,0102-3306,536.0,448.0,1.1964285714285714,0.233,2015
18,acta botanica croatica,0365-0588,109.0,119.0,0.9159663865546218,0.166,2015
19,acta chimica sinica,1614-7065,619.0,537.0,1.1527001862197392,0.222,2015
20,acta chimica slovenica,1318-0207,499.0,520.0,0.9596153846153846,0.17600000000000002,2015
21,acta chimica slovenica,1580-3155,499.0,520.0,0.9596153846153846,0.17600000000000002,2015
22,acta cirurgica brasileira,0102-8650,657.0,602.0,1.0913621262458473,0.207,2015
23,acta cirurgica brasileira,1678-2674,657.0,602.0,1.0913621262458473,0.207,2015
24,acta clinica croatica,1333-9451,230.0,287.0,0.8013937282229965,0.141,2015
25,acta diabetologica,1432-5233,1432.0,483.0,2.9648033126294,0.7290000000000001,2015
26,acta endoscopica,1958-5454,31.0,70.0,0.4428571428571429,0.067,2015
27,acta ethologica,1437-9546,138.0,103.0,1.3398058252427183,0.268,2015
28,acta geophysica,1895-7455,443.0,339.0,1.3067846607669618,0.26,2015
29,acta geotechnica,1861-1133,481.0,193.0,2.492227979274612,0.586,2015
30,acta herpetologica,1827-9635,100.0,114.0,0.8771929824561403,0.158,2015
31,acta herpetologica,1827-9643,100.0,114.0,0.8771929824561403,0.158,2015
32,acta herpetologica,1970-9498,100.0,114.0,0.8771929824561403,0.158,2015
33,acta histochemica et cytochemica,1347-5800,193.0,135.0,1.4296296296296296,0.29100000000000004,2015
34,acta ichthyologica et piscatoria,0137-1592,163.0,155.0,1.0516129032258064,0.198,2015
35,acta informatica,1432-0525,97.0,86.0,1.127906976744186,0.21600000000000003,2015
36,acta limnologica brasiliensia,2179-975X,226.0,186.0,1.2150537634408602,0.237,2015
37,acta mechanica,1619-6937,1758.0,879.0,2.0,0.444,2015
38,acta mechanica sinica,1614-3116,636.0,528.0,1.2045454545454546,0.235,2015
39,acta medica okayama,0386-300X,257.0,228.0,1.1271929824561404,0.21600000000000003,2015
40,acta medica portuguesa,1646-0758,313.0,497.0,0.6297786720321932,0.10400000000000001,2015
41,acta montanistica slovaca,1335-1788,5.0,2.0,2.5,0.588,2015
